StudentID,Gender,Age,Major,MathGrade,ScienceGrade,EnglishGrade,AttendancePercentage,StudyHoursPerWeek,OverallStatus,EnrollmentDate
STU0001,Female,22,Electrical Engineering,71.43,80.24,70.62,92.06,28.3,Pass,2021-08-22
STU0002,Female,19,Mechanical Engineering,68.73,67.8,79.22,60.79,9.3,Pass,2023-12-22
STU0003,Other,21,Psychology,59.8,83.16,75.22,79.06,29.2,Pass,2023-10-11
STU0004,Male,16,Mathematics,80.24,85.02,61.36,80.23,17.1,Pass,2023-04-01
STU0005,Male,18,Mathematics,100.0,72.61,88.52,75.61,6.4,Pass,2021-05-13
STU0006,Female,20,Computer Science,74.59,67.04,73.63,72.49,10.7,Pass,2021-06-13
STU0007,Female,21,Mechanical Engineering,59.79,85.25,68.66,73.77,7.6,Pass,2023-05-27
STU0008,Other,19,Computer Science,94.69,48.03,84.44,65.42,10.2,Pass,2021-04-02
STU0009,Female,20,English,77.44,67.41,71.91,81.84,7.4,Pass,2024-09-01
STU0010,Other,22,Economics,73.59,72.3,64.45,62.07,26.6,Pass,2024-03-12
STU0011,Female,20,Computer Science,66.01,55.16,71.68,72.04,25.7,Pass,2022-01-02
STU0012,Other,20,History,63.81,70.89,67.62,99.27,7.9,Pass,2023-05-01
STU0013,Male,20,Biology,75.17,64.3,95.9,81.82,27.7,Pass,2024-04-21
STU0014,Female,16,Psychology,81.79,75.93,71.38,93.55,8.7,Pass,2020-09-01
STU0015,Female,20,History,71.72,84.91,83.77,80.84,25.9,Pass,2020-04-20
STU0016,Male,19,English,82.45,71.4,82.96,69.57,19.4,Pass,2023-07-04
STU0017,Other,18,Mathematics,62.71,56.42,87.89,80.06,22.5,Pass,2021-07-21
STU0018,Male,16,English,65.3,71.75,94.37,87.06,26.2,Pass,2024-09-30
STU0019,Other,17,Biology,73.33,82.55,84.4,73.99,27.4,Pass,2024-04-05
STU0020,Female,18,Physics,77.12,55.49,89.06,99.25,6.8,Pass,2023-07-16
STU0021,Female,22,Chemistry,76.24,88.82,93.8,99.96,8.5,Pass,2022-02-03
STU0022,Male,16,Mathematics,71.61,74.12,76.67,70.27,26.3,Pass,2024-08-20
STU0023,Other,21,Electrical Engineering,67.17,87.83,81.26,93.78,13.3,Pass,2024-12-17
STU0024,Other,21,History,73.63,66.07,73.05,72.05,8.0,Pass,2020-04-18
STU0025,Male,21,Chemistry,73.38,68.89,85.12,73.48,6.3,Pass,2024-07-04
STU0026,Other,18,Physics,69.36,61.63,67.6,61.98,9.6,Pass,2020-03-08
STU0027,Male,16,Civil Engineering,78.31,79.35,75.46,80.55,14.6,Pass,2021-08-14
STU0028,Other,18,English,76.53,75.07,80.92,99.18,15.5,Pass,2021-10-27
STU0029,Male,19,Mechanical Engineering,81.19,52.02,92.33,88.74,16.4,Pass,2023-04-15
STU0030,Male,19,Mechanical Engineering,64.35,67.69,84.37,82.48,26.6,Pass,2020-01-24
STU0031,Female,22,Electrical Engineering,86.82,66.03,79.99,97.58,24.9,Pass,2022-02-27
STU0032,Male,21,History,78.45,84.2,67.08,62.58,26.8,Pass,2024-07-17
STU0033,Female,17,English,82.09,44.89,89.89,82.8,27.0,Pass,2022-02-02
STU0034,Other,17,Biology,77.39,49.72,83.47,84.34,10.9,Pass,2022-09-08
STU0035,Male,17,Biology,79.16,78.88,87.59,74.74,5.4,Pass,2020-09-23
STU0036,Male,20,Physics,87.57,72.95,86.21,77.78,27.7,Pass,2023-05-06
STU0037,Female,19,Physics,97.46,67.66,84.67,84.41,23.3,Pass,2021-12-13
STU0038,Female,22,History,97.18,86.12,81.13,76.08,23.7,Pass,2023-07-21
STU0039,Other,16,Civil Engineering,93.21,68.74,77.19,87.64,26.6,Pass,2024-04-04
STU0040,Male,18,Physics,86.75,67.99,90.39,65.3,12.7,Pass,2024-06-20
STU0041,Female,22,Mathematics,71.5,85.87,85.97,74.96,9.8,Pass,2022-11-08
STU0042,Other,16,Physics,63.61,77.8,80.76,72.13,13.2,Pass,2021-10-11
STU0043,Male,19,Electrical Engineering,74.46,82.03,86.69,99.55,23.8,Pass,2024-04-29
STU0044,Female,16,Psychology,81.99,64.17,80.17,74.59,21.9,Pass,2023-04-03
STU0045,Female,20,English,69.54,59.06,81.85,75.75,9.7,Pass,2021-06-05
STU0046,Female,19,Psychology,73.24,77.79,78.2,92.93,18.2,Pass,2024-08-31
STU0047,Male,16,Computer Science,65.27,92.57,76.47,72.75,29.8,Pass,2020-09-14
STU0048,Other,18,Mathematics,76.78,77.07,86.78,91.62,24.0,Pass,2023-02-22
STU0049,Male,17,Mechanical Engineering,66.34,55.84,79.78,62.02,19.1,Pass,2020-06-27
STU0050,Female,22,Physics,74.56,68.56,82.46,91.18,14.0,Pass,2023-08-17
STU0051,Other,16,English,85.37,71.06,73.78,73.45,14.8,Pass,2023-02-10
STU0052,Female,19,English,65.14,48.42,75.41,88.87,21.9,Fail,2021-10-28
STU0053,Other,18,Psychology,63.18,91.3,59.19,90.45,19.0,Pass,2020-10-04
STU0054,Male,19,Economics,64.26,60.62,80.39,84.61,7.3,Pass,2022-07-12
STU0055,Female,19,Civil Engineering,67.0,62.93,73.67,65.09,27.5,Pass,2024-07-16
STU0056,Female,18,Mechanical Engineering,67.65,60.79,68.11,66.94,21.0,Pass,2023-07-15
STU0057,Male,18,English,86.28,71.81,72.29,89.66,25.4,Pass,2020-04-09
STU0058,Female,22,English,88.01,65.34,73.28,86.81,19.3,Pass,2020-06-28
STU0059,Other,18,Civil Engineering,75.3,61.73,83.97,71.18,19.7,Pass,2022-05-21
STU0060,Other,21,Civil Engineering,63.03,77.94,67.28,91.96,11.5,Pass,2024-10-19
STU0061,Female,17,Biology,72.05,71.05,81.32,79.45,29.4,Pass,2020-03-07
STU0062,Male,21,Economics,60.81,71.05,96.59,60.74,21.5,Pass,2021-11-25
STU0063,Other,16,English,66.79,79.18,84.12,96.38,11.3,Pass,2024-04-13
STU0064,Male,22,Electrical Engineering,74.51,99.41,90.3,60.29,29.9,Pass,2024-11-26
STU0065,Male,22,English,76.27,60.57,83.04,98.25,18.1,Pass,2023-04-17
STU0066,Female,17,Physics,82.52,51.32,72.26,76.54,12.0,Pass,2023-01-14
STU0067,Male,20,Psychology,85.26,79.62,92.59,73.75,18.1,Pass,2020-12-15
STU0068,Male,19,Mechanical Engineering,87.01,64.47,83.07,60.57,27.3,Pass,2020-01-18
STU0069,Other,21,Biology,67.17,76.25,90.24,60.32,9.2,Pass,2020-10-22
STU0070,Female,22,English,63.35,53.51,80.98,80.88,13.1,Pass,2022-06-28
STU0071,Other,18,Electrical Engineering,69.37,67.99,81.19,90.75,15.6,Pass,2020-11-25
STU0072,Male,18,Psychology,74.79,60.35,90.61,71.91,21.4,Pass,2022-03-09
STU0073,Male,21,Mechanical Engineering,71.95,60.74,77.29,63.07,8.7,Pass,2022-05-05
STU0074,Other,16,Chemistry,60.14,88.34,77.13,61.33,19.5,Pass,2020-04-12
STU0075,Female,22,History,69.32,57.93,95.92,62.46,6.8,Pass,2024-01-19
STU0076,Female,16,English,80.54,67.35,85.86,72.37,15.2,Pass,2024-01-18
STU0077,Female,16,Civil Engineering,79.85,69.55,74.81,60.13,23.4,Pass,2023-09-29
